n-size,edge_probability,operations_count,operations_count,output
10,0.7,775,1.4317E-5,true
10,0.7,734,1.6552E-5,true
10,0.7,776,1.5365E-5,true
10,0.7,822,1.746E-5,true
10,0.7,714,1.8088E-5,true
10,0.7,710,4.26E-6,false
10,0.7,798,1.4807E-5,true
10,0.7,798,8.521E-6,false
10,0.7,756,2.605E-5,true
10,0.7,757,2.4375E-5,true
10,0.7,688,4.26E-6,false
10,0.7,777,2.3327E-5,true
10,0.7,857,1.9626E-5,true
10,0.7,692,2.4934E-5,true
10,0.7,822,1.6273E-5,true
10,0.7,755,1.6064E-5,true
10,0.7,752,3.282E-6,false
10,0.7,860,1.8647E-5,true
10,0.7,821,3.1708E-5,true
10,0.7,688,1.7949E-5,true
10,0.7,815,1.7251E-5,true
10,0.7,800,1.5784E-5,true
10,0.7,797,1.4876E-5,true
10,0.7,797,1.5924E-5,true
10,0.7,756,1.767E-5,true
10,0.7,738,1.9555E-5,true
10,0.7,691,1.6762E-5,true
10,0.7,776,1.5854E-5,true
10,0.7,693,2.4096E-5,true
10,0.7,716,1.5714E-5,true
10,0.7,776,1.6063E-5,true
10,0.7,775,1.7251E-5,true
10,0.7,755,1.746E-5,true
10,0.7,775,1.4946E-5,true
10,0.7,802,2.0533E-5,true
10,0.7,733,4.261E-6,false
10,0.7,820,1.4736E-5,true
10,0.7,778,1.5714E-5,true
10,0.7,858,1.9137E-5,true
10,0.7,815,4.33E-6,false
10,0.7,755,4.191E-6,false
10,0.7,778,1.8927E-5,true
10,0.7,734,1.4667E-5,true
10,0.7,711,4.261E-6,false
10,0.7,754,1.5365E-5,true
10,0.7,692,1.746E-5,true
10,0.7,902,1.4527E-5,true
10,0.7,762,1.6133E-5,true
10,0.7,798,1.5225E-5,true
10,0.7,757,1.6413E-5,true
10,0.7,921,1.774E-5,true
10,0.7,754,1.4666E-5,true
10,0.7,755,1.4737E-5,true
